Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Frequently,283,Research & Development,20,4,Medical,2,Female,57,3,4,Healthcare Representative,2,Divorced,14052,8,No,14,3,4,12,6,2,2,2,1,1
51,No,Travel_Rarely,1194,Sales,3,4,Human Resources,4,Male,89,1,3,Manager,1,Single,19782,0,No,14,3,4,39,1,3,1,0,1,0
28,No,Travel_Rarely,775,Sales,5,5,Technical Degree,4,Male,37,2,4,Sales Executive,4,Married,6182,4,No,19,4,2,23,5,1,20,15,1,1
56,No,Travel_Rarely,398,Sales,30,2,Human Resources,4,Female,93,2,3,Manager,2,Single,11198,2,Yes,24,4,2,5,4,1,3,2,1,0
39,No,Non-Travel,176,Human Resources,30,3,Other,4,Female,86,2,3,Human Resources,2,Divorced,15068,5,No,14,4,1,21,1,4,12,12,6,12
42,No,Travel_Frequently,756,Human Resources,26,4,Human Resources,4,Male,62,4,3,Human Resources,3,Married,3783,8,No,21,3,3,25,5,1,13,10,4,9
30,No,Travel_Frequently,451,Human Resources,26,3,Other,3,Female,59,4,3,Manager,4,Divorced,11179,3,No,17,3,1,33,4,2,0,0,0,0
28,No,Travel_Frequently,688,Human Resources,7,1,Life Sciences,2,Female,39,1,1,Manager,4,Married,18900,9,No,15,4,3,13,6,3,14,1,8,13
29,No,Travel_Frequently,466,Research & Development,12,3,Medical,4,Female,89,4,2,Healthcare Representative,3,Married,14247,6,No,20,4,2,5,4,3,4,1,3,3
25,No,Travel_Frequently,753,Human Resources,14,3,Medical,4,Male,36,4,1,Human Resources,3,Single,18965,4,No,16,3,3,11,6,1,20,14,0,1
32,No,Non-Travel,1244,Human Resources,6,3,Other,1,Male,44,2,2,Manager,2,Single,13465,1,No,19,3,1,33,5,4,8,6,4,2
57,Yes,Non-Travel,400,Research & Development,16,5,Other,3,Male,59,4,1,Laboratory Technician,2,Single,7660,4,No,20,4,1,11,6,1,20,5,6,14
38,No,Travel_Rarely,694,Research & Development,4,4,Technical Degree,4,Male,35,3,2,Research Director,1,Divorced,1869,4,No,21,4,3,21,6,1,5,0,1,3
53,No,Non-Travel,534,Research & Development,8,3,Medical,1,Male,85,1,5,Laboratory Technician,2,Single,8965,2,No,24,3,2,12,5,3,13,4,8,0
55,Yes,Non-Travel,799,Research & Development,14,2,Technical Degree,2,Male,77,2,2,Laboratory Technician,4,Divorced,16122,1,Yes,20,4,2,7,3,1,16,6,6,5
33,No,Travel_Rarely,909,Sales,17,5,Life Sciences,3,Male,62,3,5,Sales Representative,2,Married,18686,3,Yes,18,3,1,2,0,2,7,6,3,0
21,Yes,Travel_Rarely,897,Research & Development,5,3,Human Resources,2,Female,55,4,1,Laboratory Technician,3,Single,7930,5,No,16,3,2,39,0,3,0,1,0,0
42,Yes,Travel_Rarely,244,Research & Development,21,1,Technical Degree,2,Male,85,1,3,Research Director,2,Married,8442,3,Yes,17,4,3,21,5,1,0,1,0,0
22,No,Non-Travel,535,Research & Development,15,4,Human Resources,2,Male,63,1,4,Laboratory Technician,1,Single,10379,4,No,22,3,3,32,6,3,19,14,1,13
56,No,Travel_Rarely,1319,Research & Development,3,1,Life Sciences,3,Male,46,4,2,Laboratory Technician,1,Married,10667,7,No,25,3,1,8,6,4,2,1,2,0
58,No,Non-Travel,734,Sales,27,2,Technical Degree,1,Female,42,1,3,Manager,1,Divorced,10899,2,No,15,4,2,18,5,4,5,0,1,0
34,No,Travel_Rarely,616,Human Resources,17,3,Other,4,Male,88,3,2,Human Resources,4,Single,8627,8,No,16,3,2,40,2,2,19,19,7,16
53,No,Travel_Rarely,1037,Sales,4,1,Life Sciences,2,Male,41,2,3,Sales Executive,4,Single,4198,0,No,12,3,3,20,1,1,12,8,9,10
23,Yes,Travel_Frequently,612,Human Resources,16,5,Human Resources,3,Female,57,3,2,Human Resources,1,Single,12470,8,No,22,4,2,14,6,1,9,8,6,9
28,No,Non-Travel,1193,Research & Development,11,5,Marketing,2,Female,52,3,1,Healthcare Representative,3,Divorced,6507,2,Yes,19,4,1,22,3,3,0,0,0,0
58,No,Travel_Rarely,630,Sales,4,2,Marketing,4,Male,38,3,1,Sales Executive,1,Single,13934,5,No,16,4,3,38,1,4,17,3,8,9
26,Yes,Travel_Rarely,1172,Research & Development,18,2,Marketing,2,Female,85,4,1,Healthcare Representative,2,Married,19032,4,Yes,11,4,2,31,5,3,17,2,8,15
50,No,Travel_Frequently,182,Research & Development,3,1,Medical,2,Male,87,2,5,Laboratory Technician,1,Married,5725,5,Yes,18,3,2,3,4,4,11,3,8,2
29,No,Travel_Frequently,905,Human Resources,28,3,Technical Degree,4,Male,66,3,2,Manager,2,Divorced,3352,0,Yes,25,3,3,37,6,3,1,1,1,0
34,Yes,Non-Travel,1240,Human Resources,6,1,Other,3,Female,59,2,1,Manager,2,Single,10028,9,Yes,19,3,3,17,2,4,12,6,6,5
34,No,Travel_Rarely,1389,Research & Development,11,2,Marketing,2,Male,36,4,5,Laboratory Technician,3,Divorced,16725,4,No,20,3,4,14,4,1,17,3,7,12
52,Yes,Non-Travel,934,Research & Development,8,3,Life Sciences,3,Male,37,1,1,Healthcare Representative,3,Divorced,9605,6,Yes,18,4,2,17,3,2,2,1,0,2
59,No,Travel_Frequently,378,Sales,16,4,Technical Degree,4,Male,88,4,5,Sales Executive,4,Divorced,6198,7,No,15,4,4,7,3,3,5,0,4,5
25,Yes,Non-Travel,1221,Research & Development,14,5,Life Sciences,4,Male,46,2,2,Laboratory Technician,3,Single,3460,3,No,23,4,1,23,5,1,13,0,5,0
30,Yes,Travel_Rarely,810,Sales,30,3,Medical,2,Female,32,4,1,Sales Executive,2,Single,10162,7,Yes,20,3,2,26,6,2,5,2,3,2
48,No,Non-Travel,779,Research & Development,4,1,Technical Degree,3,Female,30,2,3,Laboratory Technician,3,Married,2439,4,No,16,4,3,21,5,4,0,1,0,1
32,No,Travel_Rarely,552,Sales,28,2,Life Sciences,1,Male,100,3,5,Manager,3,Married,8125,1,No,13,3,3,21,1,1,2,1,0,1
28,Yes,Travel_Rarely,1433,Research & Development,12,5,Marketing,1,Male,70,2,1,Laboratory Technician,1,Single,16878,2,Yes,15,4,1,39,0,2,9,8,5,2
55,No,Travel_Frequently,1029,Sales,9,4,Medical,3,Female,59,3,5,Manager,2,Single,9124,3,No,22,3,3,30,6,4,11,11,2,3
20,Yes,Non-Travel,279,Sales,4,1,Life Sciences,1,Male,32,3,3,Manager,2,Married,3816,1,No,13,4,4,39,0,2,13,6,0,2
50,No,Travel_Frequently,543,Research & Development,22,2,Life Sciences,3,Female,60,4,1,Laboratory Technician,4,Married,11690,4,No,24,4,2,8,0,1,5,1,5,3
30,Yes,Travel_Frequently,1197,Sales,1,5,Technical Degree,2,Female,64,3,5,Sales Executive,2,Married,4132,3,Yes,13,4,3,31,6,4,18,7,4,16
26,Yes,Travel_Frequently,696,Human Resources,26,1,Marketing,1,Female,53,3,5,Human Resources,1,Single,18652,9,No,12,3,3,24,1,2,16,4,2,15
28,No,Non-Travel,1088,Research & Development,23,5,Medical,3,Female,65,3,4,Healthcare Representative,3,Single,8775,9,No,14,4,1,34,3,2,8,4,4,0
42,Yes,Non-Travel,149,Research & Development,26,5,Life Sciences,3,Female,43,4,3,Research Scientist,2,Divorced,7453,8,No,19,4,4,1,4,1,12,1,8,7
33,No,Travel_Frequently,527,Human Resources,26,2,Human Resources,3,Female,35,3,2,Manager,3,Married,6785,3,Yes,24,4,3,4,1,1,20,6,1,18
42,Yes,Non-Travel,778,Sales,26,4,Medical,4,Male,94,1,1,Sales Executive,2,Married,11273,1,No,14,4,4,13,6,2,18,17,6,10
55,No,Travel_Rarely,877,Human Resources,12,1,Human Resources,2,Male,57,4,5,Manager,3,Divorced,14870,7,No,19,3,4,28,4,4,7,0,2,3
55,No,Non-Travel,387,Sales,21,2,Marketing,4,Female,75,1,5,Sales Representative,4,Divorced,9631,8,No,21,4,1,13,3,1,7,6,1,2
52,No,Travel_Frequently,900,Sales,30,2,Life Sciences,2,Male,95,1,5,Sales Representative,3,Divorced,16985,4,No,16,4,4,3,6,3,3,0,1,3
36,Yes,Non-Travel,1121,Sales,17,2,Medical,3,Male,90,3,1,Sales Executive,4,Married,14488,0,No,19,3,4,39,5,1,8,2,7,0
43,No,Travel_Rarely,506,Human Resources,13,4,Human Resources,2,Female,42,4,1,Human Resources,2,Divorced,2196,4,No,16,3,2,21,0,3,20,0,2,4
39,No,Non-Travel,178,Research & Development,18,3,Technical Degree,4,Male,71,3,3,Research Scientist,4,Single,6877,9,No,22,3,2,4,2,3,2,0,1,2
45,No,Travel_Rarely,1143,Sales,9,4,Life Sciences,3,Male,92,2,3,Manager,1,Divorced,5955,5,No,22,4,4,8,4,1,7,0,2,2
22,Yes,Travel_Rarely,1337,Human Resources,11,3,Technical Degree,3,Male,30,1,3,Human Resources,2,Married,14071,7,No,15,3,3,20,5,4,18,2,10,4
22,Yes,Non-Travel,106,Human Resources,11,1,Technical Degree,3,Female,63,3,2,Human Resources,3,Divorced,7137,3,No,14,4,2,38,2,2,7,3,6,1
