ApplicantID,Age,AnnualIncome,LoanAmount,CreditScore,EmploymentStatus,EmploymentMonths,ExistingDebt,LoanPurpose,NumberOfDependents,SavingsBalance,MonthlyExpenses,LoanApproved
APP0001,61,34592,18112,620,Self-Employed,57,4572,Medical,0,88696,1512,0
APP0002,58,75302,21663,495,Employed,55,15247,Vehicle,4,3478,2428,0
APP0003,62,111924,290706,694,Self-Employed,114,38618,Personal,0,99458,2107,0
APP0004,65,75392,183389,622,Self-Employed,55,22059,Home,0,49797,1592,0
APP0005,43,131082,185331,789,Unemployed,0,52895,Home,3,70284,1822,0
APP0006,45,30328,294428,630,Unemployed,0,9459,Education,0,6006,2666,0
APP0007,39,149134,46833,599,Employed,97,18217,Business,2,21319,3832,0
APP0008,43,47460,356364,616,Employed,155,20806,Education,4,95568,2805,0
APP0009,31,80589,203943,618,Self-Employed,175,21252,Home,1,4207,3384,0
APP0010,46,55093,39701,588,Unemployed,0,6967,Medical,3,51856,4558,0
APP0011,30,54718,78206,606,Unemployed,0,24478,Vehicle,3,76484,4071,0
APP0012,44,48746,77525,740,Part-Time,23,1543,Home,1,82240,2110,1
APP0013,48,98172,38306,677,Part-Time,152,30674,Vehicle,2,72512,894,0
APP0014,64,114466,65058,754,Unemployed,0,50370,Medical,2,14621,3204,0
APP0015,48,40730,242881,481,Unemployed,0,16403,Education,4,13947,3244,0
APP0016,61,86540,324275,581,Self-Employed,95,10587,Vehicle,4,74,3455,0
APP0017,52,22552,63650,665,Unemployed,0,3923,Home,1,74364,1445,0
APP0018,26,115932,259798,515,Self-Employed,32,43237,Business,4,21643,2971,0
APP0019,54,134351,323029,696,Self-Employed,237,35343,Medical,1,93447,3353,0
APP0020,46,108039,345723,671,Part-Time,230,33919,Business,0,32493,2640,0
APP0021,25,64313,16028,781,Self-Employed,150,7216,Home,0,92778,1282,0
APP0022,35,28834,479700,496,Unemployed,0,1160,Vehicle,1,36500,4776,0
APP0023,34,90678,74369,772,Part-Time,62,30996,Business,1,12363,1594,0
APP0024,63,76498,190753,696,Part-Time,119,3550,Medical,0,7944,4098,0
APP0025,42,124935,456764,535,Self-Employed,49,12465,Vehicle,3,18373,4256,0
APP0026,32,56509,247550,607,Employed,113,26477,Vehicle,0,6630,920,0
APP0027,26,141420,400085,601,Self-Employed,104,31826,Business,1,52565,1280,0
APP0028,31,69672,6130,679,Unemployed,0,29819,Personal,3,91303,4786,0
APP0029,30,44890,160560,591,Employed,148,17766,Home,2,7492,1210,0
APP0030,58,82493,268638,751,Self-Employed,14,33281,Home,1,8981,1356,0
APP0031,64,132960,128314,686,Employed,227,37334,Education,4,77924,1125,0
APP0032,60,30745,224794,816,Unemployed,0,15314,Personal,1,87782,3373,0
APP0033,36,54814,212505,547,Unemployed,0,14982,Personal,0,1220,4554,0
APP0034,60,93792,57418,517,Self-Employed,129,17380,Education,2,9016,2801,0
APP0035,44,57353,87704,704,Unemployed,0,20043,Medical,4,1025,3252,0
APP0036,63,33577,497269,548,Unemployed,0,3782,Home,4,20374,3031,0
APP0037,39,99276,115430,655,Self-Employed,175,41565,Personal,4,64032,2857,0
APP0038,24,32097,337547,696,Unemployed,0,722,Home,2,17146,2945,0
APP0039,31,117154,236649,762,Part-Time,143,633,Home,0,90573,2021,1
APP0040,55,24722,442568,669,Self-Employed,110,2088,Home,2,47795,1126,0
APP0041,43,47535,362599,607,Employed,90,18346,Business,4,98235,2066,0
APP0042,36,133325,90197,570,Part-Time,6,11754,Medical,2,53964,2832,0
APP0043,38,40866,417811,535,Part-Time,223,1268,Business,1,26158,4570,0
APP0044,43,60001,435197,596,Self-Employed,6,21627,Education,3,43025,3082,0
APP0045,25,146732,410445,622,Unemployed,0,42040,Vehicle,3,89065,3512,0
APP0046,22,35118,464820,613,Self-Employed,148,8698,Home,0,78193,4359,0
APP0047,43,115491,417314,640,Part-Time,155,33516,Home,3,75574,2357,0
APP0048,37,25817,376607,703,Employed,133,8821,Medical,1,47739,4333,0
APP0049,25,144370,353251,649,Unemployed,0,43475,Home,2,66469,3333,0
APP0050,63,73528,176013,686,Unemployed,0,36333,Education,1,55108,3905,0
APP0051,64,118059,478330,569,Unemployed,0,26612,Vehicle,0,39829,3150,0
APP0052,34,76346,416963,776,Unemployed,0,30473,Business,3,88555,2550,0
APP0053,53,82021,421145,566,Employed,72,33780,Medical,4,43933,1565,0
APP0054,36,108184,167749,595,Self-Employed,37,1600,Home,1,62277,1396,1
APP0055,61,95454,106940,676,Part-Time,102,15989,Education,0,98430,1673,0
APP0056,48,48683,97215,745,Part-Time,12,18265,Education,0,59829,1892,0
APP0057,50,107500,283466,766,Unemployed,0,49496,Business,4,94276,4935,0
APP0058,48,128864,480453,760,Part-Time,229,10430,Medical,3,58991,2923,0
APP0059,36,130082,339318,621,Part-Time,160,15679,Personal,3,10155,3140,0
APP0060,36,55614,181080,643,Employed,35,4942,Education,3,90957,2051,0
APP0061,34,28418,222510,688,Unemployed,0,8890,Business,3,8161,2494,0
APP0062,47,71049,479395,779,Employed,219,24928,Business,0,46105,3246,0
APP0063,45,131863,472476,694,Self-Employed,124,14380,Personal,3,63654,1037,0
APP0064,45,64057,355682,687,Self-Employed,215,15315,Education,4,70008,1020,0
APP0065,46,97580,300903,819,Employed,21,42123,Business,1,60515,2288,0
APP0066,24,54099,203759,647,Self-Employed,116,10710,Personal,3,36471,4253,0
APP0067,37,129433,47942,720,Employed,191,35351,Home,2,29389,1362,0
APP0068,62,25276,400435,495,Self-Employed,51,333,Vehicle,1,31266,1834,0
APP0069,51,107747,64973,768,Self-Employed,119,45840,Personal,2,21992,1738,0
APP0070,31,146447,168073,535,Employed,237,20444,Vehicle,3,51990,2424,0
APP0071,25,97607,367080,801,Self-Employed,26,45691,Personal,4,15866,1136,0
APP0072,43,89827,229593,818,Unemployed,0,4519,Vehicle,2,1658,4241,0
APP0073,52,33833,232291,665,Part-Time,181,5013,Business,1,96180,3012,0
APP0074,60,125932,487144,755,Part-Time,119,28545,Medical,4,35179,3440,0
APP0075,36,128885,495011,524,Unemployed,0,57778,Business,1,98366,4606,0
APP0076,57,99997,355323,674,Unemployed,0,1880,Business,2,23834,4794,0
APP0077,34,66507,423293,612,Unemployed,0,18327,Vehicle,2,72848,883,0
APP0078,54,144264,105168,523,Self-Employed,184,26635,Business,4,99374,2768,0
APP0079,65,82402,343639,731,Part-Time,202,1130,Home,2,29045,4112,1
APP0080,40,107026,309902,668,Part-Time,141,34794,Personal,3,97771,3509,0
APP0081,43,112124,242893,618,Unemployed,0,16475,Education,0,94540,2377,0
APP0082,41,35670,394483,754,Self-Employed,49,7090,Medical,3,36241,3118,0
APP0083,27,129134,106773,631,Self-Employed,92,11759,Personal,0,92801,1836,0
APP0084,38,25965,33587,763,Unemployed,0,11426,Education,3,13446,900,0
APP0085,57,57268,251099,725,Part-Time,87,6041,Home,2,62616,1734,0
APP0086,25,72521,262816,517,Employed,38,9777,Vehicle,2,11164,2833,0
APP0087,28,93147,405788,693,Self-Employed,198,34247,Business,3,58028,3235,0
APP0088,58,149765,229830,636,Employed,156,48502,Home,1,81987,2528,0
APP0089,37,106563,47565,560,Self-Employed,44,36175,Home,1,350,4146,0
APP0090,49,110357,316328,720,Unemployed,0,2139,Education,2,92662,3116,0
APP0091,65,132670,243043,516,Self-Employed,236,17337,Medical,4,86662,2420,0
APP0092,48,35043,290507,595,Self-Employed,232,8704,Education,0,7816,2159,0
APP0093,40,97993,397669,771,Unemployed,0,28780,Home,3,90266,3291,0
APP0094,65,72757,499233,619,Part-Time,112,5271,Vehicle,0,56626,3440,0
APP0095,59,52816,18560,526,Self-Employed,172,18848,Vehicle,0,88117,3007,0
APP0096,57,25273,405088,569,Part-Time,132,10674,Business,2,23788,4370,0
APP0097,61,126724,262805,526,Part-Time,89,26761,Personal,2,87835,1656,0
APP0098,31,63228,220820,733,Unemployed,0,21711,Business,4,4809,4525,0
APP0099,26,61224,137329,645,Employed,197,13244,Vehicle,0,86200,4584,0
APP0100,47,27104,103347,745,Unemployed,0,10201,Business,3,99613,1222,0
APP0101,34,55003,292949,547,Unemployed,0,14356,Medical,3,15915,1036,0
APP0102,61,99806,424070,602,Self-Employed,79,36099,Home,4,53476,1563,0
APP0103,35,130284,483638,538,Part-Time,30,42448,Education,3,93926,3190,0
APP0104,53,112459,148353,692,Part-Time,120,15973,Business,4,18958,3942,0
APP0105,33,140831,319246,740,Self-Employed,221,4575,Personal,3,44548,4959,0
APP0106,38,127551,6344,624,Unemployed,0,54884,Vehicle,4,86499,4811,0
APP0107,30,78529,287371,727,Unemployed,0,21786,Vehicle,4,49441,4530,0
APP0108,41,133980,103908,602,Part-Time,59,56099,Business,0,41704,4674,0
